actual	generated
имеет тип	is a type of
из страны	из страны
находится в	country
место рождения	place of birth
находится в	location
находится в	из страны
организация имеет члена	member of
место рождения	place of birth
из страны	nationality
имеет тип	genre
имеет автора	имеет автора
место рождения	country of citizenship
место рождения	из страны
находится в	is part of
находится в	located in
имеет автора	author
фильм имеет режиссера	director
штаб-квартира	located in
штаб-квартира	country
имеет автора	имеет автора
штаб-квартира	country
находится в	country
имеет профессию	hasoccupation
имеет жанр	genre
имеет автора	author
имеет тип	type
имеет население	haspopulation
организация имеет члена	hascomposer
фильм имеет режиссера	has director
имеет население	haspopulation
имеет жанр	genre
фильм имеет режиссера	director
имеет профессию	hasoccupation
имеет автора	имеет автора
имеет тип	instance of
находится в	country
место рождения	место рождения
из страны	из страны
из страны	ethnic group
организация имеет члена	hasname
является членом	youth club
место рождения	из страны
имеет образование	educated at
имеет образование	haseducation
находится в	country
штаб-квартира	located in
организация имеет члена	rapper
находится в	country of citizenship
имеет автора	имеет автора
из страны	country
имеет тип	instance of
имеет автора	имеет автора
находится в	country
имеет ребенка	author
имеет профессию	hasoccupation
место рождения	место рождения
место рождения	место рождения
является членом	youth club
место рождения	место рождения
находится в	country
имеет жанр	genre
является членом	employer
имеет образование	educated at
имеет автора	imed
штаб-квартира	country
место рождения	place of birth
является членом	employer
находится в	country
из страны	ethnic group
имеет профессию	hasoccupation
организация имеет члена	имеет автора
находится в	country
имеет население	haspopulation
штаб-квартира	штабквартира
получил(а) награду	received award
из страны	country
имеет автора	is a work by
имеет тип	hastype
имеет жанр	genre
из страны	из страны
имеет образование	educated at
имеет население	haspopulation
имеет тип	имеет тип
организация имеет члена	guitarist
нет отношения	son
место рождения	place of birth
имеет брата или сестру	sister
фильм имеет режиссера	director
имеет брата или сестру	имеет брата или сестру
место рождения	place of birth
имеет тип	genre
имеет супруга(у)	havechild
имеет образование	educated at
имеет тип	type
имеет профессию	hasoccupation
организация имеет члена	member
имеет автора	author
из страны	country of citizenship
год события	год события
имеет профессию	hasoccupation
имеет профессию	hasoccupation
организация имеет члена	DJ
место рождения	место рождения
имеет автора	имеет автора
из страны	ethnic group
имеет тип	имеет тип
имеет тип	record label
находится в	country
штаб-квартира	штабквартира
организация имеет основателя	организация имеет основателя
организация имеет члена	member
имеет профессию	employer
находится в	country
организация имеет члена	lead vocals
имеет тип	sponsor
имеет автора	author
организация имеет члена	hasoccupation
имеет профессию	hasoccupation
имеет родителя	father
имеет профессию	hasoccupation
имеет автора	author
из страны	ethnic group
место рождения	birth place
штаб-квартира	located in
имеет тип	hastype
имеет автора	имеет автора
находится в	country
имеет профессию	hasoccupation
имеет образование	educated at
имеет автора	author
имеет жанр	genre
имеет профессию	hasoccupation
имеет автора	author
организация имеет члена	bass
имеет жанр	genre
имеет население	haspopulation
имеет автора	имеет автора
имеет профессию	hasoccupation
из страны	country
имеет тип	genre
место рождения	place of birth
фильм имеет режиссера	director
имеет образование	educated at
место рождения	place of birth
имеет жанр	genre
находится в	country
имеет супруга(у)	имеет супругау
находится в	manufacturer
имеет население	haspopulation
имеет профессию	hasoccupation
организация имеет члена	bass
штаб-квартира	country
имеет тип	record label
место рождения	from
лидер организации	leader of
имеет жанр	genre
имеет население	haspopulation
имеет население	haspopulation
организация имеет основателя	организация имеет основателя
имеет население	haspopulation
из страны	ethnic group
имеет автора	имеет автора
имеет ребенка	имеет ребенка
организация имеет члена	producer
имеет профессию	hasoccupation
организация имеет основателя	организация имеет основателя
штаб-квартира	located in
получил(а) награду	actress
организация имеет основателя	организация имеет основателя
место рождения	место рождения
штаб-квартира	located in
имеет население	haspopulation
находится в	из страны
первый продукт	first product
из страны	ethnic group
имеет брата или сестру	imae брат
место рождения	место рождения
имеет тип	type
место рождения	место рождения
имеет жанр	hasgenre
имеет тип	genre
имеет автора	author
имеет тип	type
место рождения	место рождения
имеет тип	genre
штаб-квартира	member of
находится в	located in
находится в	находится в
имеет население	haspopulation
имеет тип	record label
из страны	languages spoken or written
лидер организации	author
имеет автора	author
находится в	country
фильм имеет режиссера	film has director
место рождения	place of birth
с участием	actor
организация имеет основателя	организация имеет основателя
получил(а) награду	organizer
фильм имеет режиссера	director
