actual	generated
has type	instance of
from country	instance of
located in	located in the administrative territorial entity
birth place	Location
located in	Location
located in	No
organization has member	Artist
birth place	where is adolf SzyszkoBohusz born
from country	No
has type	genre
has author	publisher
birth place	country of origin
birth place	Artist
located in	Location
located in	country music format
has author	author
movie has director	отношения
headquarters	instance of
headquarters	instance of
has author	auteur
headquarters	Yes
located in	country
has occupation	occupation
has genre	genre
has author	occupation
has type	Yes
has population	 inti for i in inputsplit if i  127 print 127 else print 127
organization has member	associated
movie has director	occupation
has population	Yes
has genre	instance of
movie has director	occupation
has occupation	Yes
has author	auteur
has type	356 Winchester
located in	country
birth place	located in
from country	country of citizenship
from country	No
organization has member	Artist
is member of	youth football
birth place	instance of
has education	educated at
has education	lieutenant
located in	s1
headquarters	country
organization has member	instances
located in	country of citizenship
has author	alias
from country	No
has type	instance of
has author	instance of
located in	country
has child	отношения
has occupation	occupation
birth place	located in
birth place	country of citizenship
is member of	youth product
birth place	aintinput binput cbcount0 cbcount0 cbcount0 cbcount0 cbcount0 cbcount0 cbcount0 cbcount0 cbcount0 cbcount0 cbcount0 cbcount0 cbcount
located in	country
has genre	genre
is member of	 occupation is actor  image is marcella takacsjpg  birth date is 24 july 1989  occupation is film director actor producer producer  death date is 10 october 2013  birth place is Budapest Hungary  name is Marcell Takács
has education	alumni
has author	occupation
headquarters	Yes
birth place	Location
is member of	аffiliation
located in	military branch
from country	country of origin
has occupation	occupation
organization has member	member of
located in	Location
has population	habitants
headquarters	city
won award	occupation
from country	country
has author	 name
has type	instance of
has genre	occupation
from country	former boxer
has education	located in
has population	total population
has type	instances
organization has member	brothers
no relation	instance of
birth place	located in
has sibling	sister
movie has director	director
has sibling	отношения
birth place	Location
has type	genre
has spouse	fiancé
has education	instance of
has type	instance of
has occupation	occupation
organization has member	member
has author	occupation
from country	country
event year	date of birth
has occupation	title
has occupation	occupation
organization has member	x
birth place	Место рождения
has author	instance of
from country	languages spoken
has type	instance of
has type	genre
located in	where is Lozna located
headquarters	geographic location
organization has founder	partnership
organization has member	No
has occupation	отношения
located in	located in the administrative territorial entity
organization has member	alias
has type	member
has author	author
organization has member	occupation
has occupation	occupation
has parent	отношения
has occupation	occupation
has author	instances
from country	ethnicity
birth place	city
headquarters	instance of
has type	located in
has author	member
located in	country
has occupation	occupation
has education	instance of
has author	auteur
has genre	No
has occupation	
has author	occupation
organization has member	Erika Forster
has genre	No
has population	Yes
has author	creator
has occupation	occupation
from country	Yes
has type	instance of
birth place	née
movie has director	roles
has education	места рождения
birth place	 место рождения
has genre	occupation
located in	country
has spouse	отношения
located in	Yes
has population	population
has occupation	occupation
organization has member	guitar
headquarters	No
has type	instance of
birth place	No
organization leader	member of
has genre	genre
has population	 mapint inputsplit a  1 for i in a for j in a a  i  1 for i in a a  j in a a  j if a  a printa
has population	населенный пункт
organization has founder	employer
has population	population
from country	Yes
has author	instance of
has child	отношения
organization has member	Producer
has occupation	occupation
organization has founder	и
headquarters	located in
won award	occupation
organization has founder	No
birth place	born
headquarters	located in the administrative territorial entity
has population	population
located in	Location
first product	instance of
from country	ethnic group
has sibling	brothers
birth place	Location
has type	types
birth place	lieu
has genre	instance of
has type	genre
has author	Artist
has type	instance
birth place	Место  birth
has type	genre
headquarters	name
located in	located in the United States
located in	located in the administrative territorial entity
has population	population
has type	affiliate
from country	No
organization leader	 name is Mike Buchanan
has author	publisher
located in	country
movie has director	occupation
birth place	city
starring	occupation
organization has founder	instance of
won award	winner
movie has director	occupation
