actual	generated
has occupation	hasgenre
has occupation	hasgenre
has occupation	hasoccupation
has population	haspopulation
has occupation	hastype
has population	haspopulation
has occupation	hastype
has occupation	hasparent
has type	hasgenre
has education	havesex
has population	haspopulation
has population	hastype
has occupation	hasgenre
has type	hasgenre
has occupation	hasgenre
has occupation	hasgenre
has occupation	hasgenre
no relation	hasgenre
has population	haspopulation
has type	hasgenre
has population	hasgenre
has type	hasgenre
has occupation	hasgenre
has occupation	hasgenre
has type	hasgenre
has population	haspopulation
has type	hastype
has occupation	hasgenre
has occupation	hasgenre
has occupation	hasgenre
has occupation	hasgenre
has type	hasgenre
has occupation	hasgenre
no relation	hasgenre
has occupation	hasgenre
has occupation	hasgender
has occupation	hasgenre
has occupation	hasgenre
has occupation	hasgenre
has occupation	hasgenre
has occupation	hasgenre
has population	haspopulation
has genre	hasgenre
has occupation	hasgenre
has occupation	hasgenre
has population	haspopulation
has population	haspopulation
has occupation	hasgenre
has occupation	hasgenre
has occupation	hasgenre
has occupation	hasgenre
has occupation	hasoccupation
has population	haspopulation
has population	hasgenre
has genre	hasgenre
has occupation	hasgenre
has occupation	hastype
has occupation	hasgenre
has occupation	hasgenre
has occupation	hasgenre
has type	hasgenre
has population	haspopulation
has occupation	hasgenre
has occupation	hasgenre
has population	hasvolume
has genre	hasgenre
has type	hasgenre
has type	hasgenre
has population	haspopulation
event year	hasgenre
has occupation	hasgenre
has occupation	hasoccupation
has occupation	hasgenre
has type	hasgenre
has occupation	hasgenre
has population	haspopulation
has occupation	hasgenre
has occupation	hasgenre
has occupation	hasgenre
has occupation	hastype
has type	hastype
has occupation	hasgenre
has occupation	hastype
has population	hastype
has genre	hasgenre
has occupation	hasgenre
has population	haspopulation
has occupation	hasgenre
has occupation	hasgenre
has occupation	hasgenre
has type	instance of
has population	hasgenre
has occupation	hastype
has type	hasgenre
has occupation	hasgenre
has type	hastype
has type	hasparent
has population	haspopulation
event year	hasdate
has occupation	hasgenre
no relation	hasgenre
has genre	has genre
has occupation	hasgenre
has type	hasgenre
has occupation	hasgenre
has occupation	hasoccupation
has type	hasgenre
has population	haspopulation
has type	hasgenre
has occupation	hasgenre
has genre	hasgenre
has type	hasgenre
has type	hasgenre
event year	date of award
has population	hasgenre
has occupation	hasgenre
has occupation	hasgenre
has occupation	haveparent
has occupation	hasgenre
has occupation	hasgenre
has genre	has genre
has occupation	hasgenre
has genre	hasgenre
has population	haspopulation
has occupation	hasgenre
has type	hasgenre
has occupation	hasgenre
has population	haspopulation
has occupation	occupation
has population	haspopulation
has occupation	hasgenre
