actual	generated
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has population	has population
has occupation	has occupation
has population	has population
has occupation	has occupation
has occupation	has occupation
has type	has occupation
has education	has education
has population	has population
has population	has population
has occupation	has occupation
has type	has type
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
no relation	no relation
has population	has population
has type	no relation
has population	has population
has type	occupation
has occupation	has occupation
has occupation	has occupation
has type	hastype
has population	has population
has type	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has type	genre
has occupation	has occupation
no relation	no relation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has population	has population
has genre	genre
has occupation	has occupation
has occupation	has occupation
has population	has population
has population	has population
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has population	has population
has population	has population
has genre	genre
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has type	has occupation
has population	has population
has occupation	has occupation
has occupation	has occupation
has population	has population
has genre	genre
has type	has type
has type	has occupation
has population	has population
event year	event year
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has type	has occupation
has occupation	has occupation
has population	has population
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has type	no relation
has occupation	has occupation
has occupation	has occupation
has population	has population
has genre	has genre
has occupation	has occupation
has population	has population
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has type	occupation
has population	has population
has occupation	has occupation
has type	cylinders
has occupation	has occupation
has type	has occupation
has type	no relation
has population	has population
event year	event year
has occupation	has occupation
no relation	hastype
has genre	has genre
has occupation	has occupation
has type	hagenre
has occupation	has occupation
has occupation	has occupation
has type	hastype
has population	has population
has type	hastype
has occupation	has occupation
has genre	has genre
has type	has type
has type	hastype
event year	event year
has population	has population
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has genre	genre
has occupation	has occupation
has genre	genre
has population	has population
has occupation	has occupation
has type	city
has occupation	has occupation
has population	has population
has occupation	has occupation
has population	has population
has occupation	has occupation
