actual	generated
birth place	birth place
has type	has type
movie has director	movie has director
has occupation	occupation
movie has director	movie has director
birth place	birth place
has genre	genre
birth place	birth place
birth place	from country
birth place	birth place
has genre	genre
birth place	birth place
movie has director	movie has director
has occupation	occupation
has type	has type
birth place	birth place
has author	author
has occupation	occupation
has occupation	occupation
from country	country
birth place	birth place
has type	instance of
birth place	birth place
located in	country
located in	located in
movie has director	movie has director
located in	located in
birth place	birth place
movie has director	movie has director
has author	author
has genre	genre
organization has member	leader
has author	author
has occupation	occupation
event year	event year
headquarters	headquarters
has type	genre
located in	from country
birth place	birth place
movie has director	movie has director
has parent	has parent
has occupation	organization has founder
movie has director	director
located in	country
located in	located in
located in	country
birth place	birth place
has genre	genre
located in	located in
located in	from country
movie has director	movie has director
birth place	birth place
movie has director	movie has director
movie has director	movie has director
located in	country
has occupation	occupation
birth place	birth place
birth place	birth place
birth place	birth place
birth place	from country
has author	movie has director
movie has director	movie has director
from country	from country
birth place	from country
birth place	birth place
birth place	birth place
birth place	birth place
has type	genre
birth place	birth place
birth place	birth place
movie has director	movie has director
is member of	group has member
birth place	birth place
movie has director	director
has type	instance of
birth place	birth place
has genre	genre
has occupation	occupation
has genre	genre
birth place	birth place
birth place	birth place
located in	from country
birth place	birth place
birth place	birth place
has occupation	occupation
has occupation	occupation
has genre	genre
birth place	birth place
birth place	birth place
has genre	has occupation
birth place	birth place
birth place	birth place
birth place	from country
movie has director	director
has type	genre
has occupation	occupation
located in	from country
birth place	birth place
birth place	birth place
has author	author
birth place	birth place
located in	located in
birth place	birth place
birth place	birth place
has occupation	occupation
located in	from country
has occupation	occupation
organization has member	producer
birth place	birth place
has type	genre
located in	from country
movie has director	movie has director
from country	country
has author	author
birth place	birth place
has type	genre
birth place	located in
birth place	birth place
has type	genre
birth place	birth place
birth place	birth place
has genre	genre
located in	from country
located in	event year
has spouse	has child
located in	from country
birth place	birth place
birth place	birth place
birth place	birth place
has genre	has type
birth place	birth place
birth place	birth place
birth place	birth place
birth place	birth place
has occupation	occupation
from country	from country
is member of	has occupation
birth place	birth place
has occupation	occupation
birth place	birth place
has occupation	occupation
located in	located in
has type	genre
movie has director	director
birth place	birth place
has occupation	occupation
located in	country
has occupation	occupation
movie has director	director
has genre	genre
organization has founder	organization has founder
located in	from country
birth place	birth place
has author	author
has occupation	occupation
has type	genre
birth place	birth place
movie has director	movie has director
movie has director	director
has education	no relation
has occupation	occupation
has type	genre
has occupation	occupation
has occupation	occupation
has occupation	occupation
organization leader	organization leader
no relation	no relation
birth place	birth place
birth place	from country
has type	record label
located in	from country
organization has founder	organization has founder
located in	country
birth place	birth place
has type	genre
birth place	birth place
birth place	birth place
has type	occupation
from country	from country
located in	from country
birth place	birth place
from country	from country
located in	from country
organization has member	director
birth place	birth place
located in	country
birth place	birth place
no relation	company
is member of	is member of
movie has director	director
movie has director	movie has director
movie has director	movie has director
has occupation	organization leader
from country	from country
birth place	birth place
located in	from country
birth place	birth place
has type	genre
birth place	birth place
located in	country
