actual	generated
имеет тип	instance of
из страны	country of citizenship
находится в	country
место рождения	place of birth
находится в	located in the administrative territorial entity
находится в	country of origin
организация имеет члена	musician
место рождения	place of birth
из страны	country of citizenship
имеет тип	instance of
имеет автора	author
место рождения	country of citizenship
место рождения	country of citizenship
находится в	country
находится в	located in the administrative territorial entity
имеет автора	main author
фильм имеет режиссера	director
штаб-квартира	located in the administrative territorial entity
штаб-квартира	country of origin
имеет автора	author
штаб-квартира	country
находится в	country
имеет профессию	occupation
имеет жанр	genre
имеет автора	author
имеет тип	public
имеет население	population
организация имеет члена	member of
фильм имеет режиссера	director
имеет население	population
имеет жанр	genre
фильм имеет режиссера	director
имеет профессию	occupation
имеет автора	author
имеет тип	instance of
находится в	country
место рождения	place of birth
из страны	country of citizenship
из страны	ethnic group
организация имеет члена	member of
является членом	member of sports team
место рождения	country of citizenship
имеет образование	educated at
имеет образование	educated at
находится в	country
штаб-квартира	country of origin
организация имеет члена	member of
находится в	country of citizenship
имеет автора	author
из страны	country of citizenship
имеет тип	instance of
имеет автора	author
находится в	country
имеет ребенка	author
имеет профессию	occupation
место рождения	place of birth
место рождения	place of birth
является членом	member of sports team
место рождения	place of birth
находится в	country
имеет жанр	genre
является членом	member of sports team
имеет образование	educated at
имеет автора	author
штаб-квартира	country
место рождения	place of death
является членом	club
находится в	country
из страны	ethnic group
имеет профессию	occupation
организация имеет члена	performer
находится в	country
имеет население	census
штаб-квартира	headquarters location
получил(а) награду	military order
из страны	country of citizenship
имеет автора	author
имеет тип	instance of
имеет жанр	genre
из страны	country of citizenship
имеет образование	educated at
имеет население	population
имеет тип	instance of
организация имеет члена	brother
нет отношения	brother
место рождения	place of birth
имеет брата или сестру	sister
фильм имеет режиссера	director
имеет брата или сестру	sister
место рождения	place of birth
имеет тип	instance of
имеет супруга(у)	spouse
имеет образование	educated at
имеет тип	instance of
имеет профессию	occupation
организация имеет члена	member of
имеет автора	author
из страны	country of citizenship
год события	
имеет профессию	occupation
имеет профессию	occupation
организация имеет члена	member of
место рождения	place of birth
имеет автора	author
из страны	ethnic group
имеет тип	instance of
имеет тип	follows
находится в	country
штаб-квартира	headquarters location
организация имеет основателя	founder
организация имеет члена	member of
имеет профессию	employer
находится в	country
организация имеет члена	vocalist
имеет тип	series
имеет автора	author
организация имеет члена	producer
имеет профессию	occupation
имеет родителя	father
имеет профессию	occupation
имеет автора	author
из страны	country of citizenship
место рождения	place of death
штаб-квартира	located in the administrative territorial entity
имеет тип	instance of
имеет автора	author
находится в	country
имеет профессию	occupation
имеет образование	educated at
имеет автора	author
имеет жанр	genre
имеет профессию	occupation
имеет автора	author
организация имеет члена	member of band
имеет жанр	genre
имеет население	population
имеет автора	author
имеет профессию	occupation
из страны	country of citizenship
имеет тип	follows
место рождения	place of birth
фильм имеет режиссера	director
имеет образование	educated at
место рождения	place of birth
имеет жанр	genre
находится в	country
имеет супруга(у)	spouse
находится в	country of citizenship
имеет население	census population
имеет профессию	occupation
организация имеет члена	member of musical group
штаб-квартира	located in the administrative territorial entity
имеет тип	record label
место рождения	country of citizenship
лидер организации	leader
имеет жанр	genre
имеет население	censusdesignated place
имеет население	population
организация имеет основателя	founder
имеет население	population
из страны	ethnic group
имеет автора	artist
имеет ребенка	son
организация имеет члена	producer
имеет профессию	occupation
организация имеет основателя	founder
штаб-квартира	headquarters location
получил(а) награду	film star
организация имеет основателя	founder
место рождения	place of birth
штаб-квартира	located in the administrative territorial entity
имеет население	population
находится в	country
первый продукт	product
из страны	ethnic group
имеет брата или сестру	brother
место рождения	place of birth
имеет тип	instance of
место рождения	place of birth
имеет жанр	genre
имеет тип	production company
имеет автора	named after
имеет тип	instance of
место рождения	place of birth
имеет тип	follows
штаб-квартира	country
находится в	located in the administrative territorial entity
находится в	located in the administrative territorial entity
имеет население	population
имеет тип	follows
из страны	country of citizenship
лидер организации	political party
имеет автора	author
находится в	country
фильм имеет режиссера	director
место рождения	place of birth
с участием	actor
организация имеет основателя	founder
получил(а) награду	participant of
фильм имеет режиссера	director
