actual	generated
имеет профессию	a une occupation
имеет профессию	a une occupation
имеет профессию	a une occupation
имеет население	a une population
имеет профессию	occupation
имеет население	population
имеет профессию	a une occupation
имеет профессию	religion
имеет тип	a une occupation
имеет образование	a une éducation
имеет население	a un type
имеет население	a une population
имеет профессию	occupation
имеет тип	a une population
имеет профессию	a une occupation
имеет профессию	a un type
имеет профессию	a une occupation
нет отношения	a un type
имеет население	a un type
имеет тип	religion
имеет население	a une population
имеет тип	a une éducation
имеет профессию	occupation
имеет профессию	occupation
имеет тип	a une occupation
имеет население	a une population
имеет тип	Personnalité
имеет профессию	a une occupation
имеет профессию	a une population
имеет профессию	a une occupation
имеет профессию	a une occupation
имеет тип	a une population
имеет профессию	a une occupation
нет отношения	a un type
имеет профессию	a une occupation
имеет профессию	occupation
имеет профессию	a une occupation
имеет профессию	a une occupation
имеет профессию	a une occupation
имеет профессию	a une occupation
имеет профессию	a une occupation
имеет население	population
имеет жанр	genre
имеет профессию	a une occupation
имеет профессию	a une occupation
имеет население	population
имеет население	a une population
имеет профессию	a une occupation
имеет профессию	a une occupation
имеет профессию	a une occupation
имеет профессию	a une occupation
имеет профессию	a une occupation
имеет население	a une population
имеет население	relation
имеет жанр	a une éducation
имеет профессию	rôle
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	a une occupation
имеет профессию	a une occupation
имеет тип	décrit le mieux la relation entre antonjozefgrusha et vie
имеет население	a une population
имеет профессию	a une occupation
имеет профессию	a une occupation
имеет население	a une population
имеет жанр	genre
имеет тип	genre
имеет тип	a un genre
имеет население	a une population
год события	a une éducation
имеет профессию	a une occupation
имеет профессию	a une occupation
имеет профессию	une occupation
имеет тип	a une occupation
имеет профессию	relation
имеет население	a population
имеет профессию	a une occupation
имеет профессию	Personnalité
имеет профессию	a un type
имеет профессию	décrit le mieux la relation entre Albert Karl Ludwig Gotguelf Gюнter et animal
имеет тип	a un type
имеет профессию	a une occupation
имеет профессию	a une relation
имеет население	a une population
имеет жанр	genre
имеет профессию	a une occupation
имеет население	a une population
имеет профессию	a une occupation
имеет профессию	relation
имеет профессию	a une occupation
имеет тип	a une occupation
имеет население	a une population
имеет профессию	a un type
имеет тип	a un genre
имеет профессию	occupation
имеет тип	a une religion
имеет тип	a une occupation
имеет население	Deux entités
год события	année de lévénement
имеет профессию	a une occupation
нет отношения	a une occupation
имеет жанр	genre
имеет профессию	a une occupation
имеет тип	a une population
имеет профессию	a une occupation
имеет профессию	a une occupation
имеет тип	à une population
имеет население	a une population
имеет тип	a une population
имеет профессию	a une occupation
имеет жанр	genre
имеет тип	a une occupation
имеет тип	a un type
год события	date de lévénement
имеет население	a une population
имеет профессию	a une occupation
имеет профессию	occupation
имеет профессию	a une occupation
имеет профессию	Nom
имеет профессию	relation
имеет жанр	genre
имеет профессию	occupation
имеет жанр	genre
имеет население	Deux entités peuvent en avoir seuls les mêmes relations
имеет профессию	a une occupation
имеет тип	a une population
имеет профессию	association
имеет население	population
имеет профессию	a une occupation
имеет население	a une population
имеет профессию	Personnalité
