actual	generated
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет население	имеет население
имеет профессию	имеет профессию
имеет население	имеет население
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет тип	имеет профессию
имеет образование	имеет образование
имеет население	имеет население
имеет население	имеет население
имеет профессию	имеет профессию
имеет тип	имеет тип
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет жанр
без связи	imset genre
имеет население	имеет население
имеет тип	имеет профессию
имеет население	имеет население
имеет тип	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет тип	имеет жанр
имеет население	имеет население
имеет тип	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет жанр
имеет профессию	имеет профессию
имеет тип	имеет жанр
имеет профессию	религиозный деятель
без связи	year
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет население	имеет население
имеет жанр	genre
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет население	имеет население
имеет население	имеет население
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет население	имеет население
имеет население	имеет население
имеет жанр	имеет жанр
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет тип	имеет профессию
имеет население	имеет население
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет население	имеет население
имеет жанр	имеет жанр
имеет тип	имеет тип
имеет тип	имеет профессию
имеет население	имеет население
год события	год события
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет тип	имеет профессию
имеет профессию	имеет профессию
имеет население	имеет население
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет тип	имеет тип
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет население	имеет население
имеет жанр	имеет жанр
имеет профессию	имеет профессию
имеет население	имеет население
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет тип	имеет профессию
имеет население	имеет население
имеет профессию	имеет профессию
имеет тип	имеет тип
имеет профессию	имеет профессию
имеет тип	has religion
имеет тип	имеет профессию
имеет население	имеет население
год события	год события
имеет профессию	имеет профессию
без связи	nonperformingpersonnel
имеет жанр	имеет жанр
имеет профессию	имеет профессию
имеет тип	имеет тип
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет тип	имеет тип
имеет население	имеет население
имеет тип	имеет жанр
имеет профессию	имеет профессию
имеет жанр	имеет жанр
имеет тип	имеет тип
имеет тип	имеет тип
год события	year
имеет население	имеет население
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет жанр	имеет жанр
имеет профессию	имеет профессию
имеет жанр	имеет жанр
имеет население	имеет население
имеет профессию	имеет профессию
имеет тип	имеет тип
имеет профессию	имеет профессию
имеет население	имеет население
имеет профессию	имеет профессию
имеет население	имеет население
имеет профессию	имеет профессию
