actual	generated
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has population	has population
has occupation	has occupation
has population	has population
has occupation	has occupation
has occupation	has occupation
has type	occupation
has education	educated at
has population	has population
has population	has population
has occupation	has occupation
has type	has type
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
no relation	no relation
has population	has population
has type	no relation
has population	has population
has type	has occupation
has occupation	has occupation
has occupation	has occupation
has type	has type
has population	has population
has type	occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	no relation
has type	has genre
has occupation	has occupation
no relation	no relation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has population	has population
has genre	has type
has occupation	has occupation
has occupation	has occupation
has population	has population
has population	has population
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has population	has population
has population	has population
has genre	genre
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has type	has occupation
has population	no relation
has occupation	has occupation
has occupation	has occupation
has population	has population
has genre	genre
has type	has type
has type	has occupation
has population	no relation
event year	event year
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has type	has occupation
has occupation	has occupation
has population	has population
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has type	has type
has occupation	has occupation
has occupation	has occupation
has population	has population
has genre	genre
has occupation	has occupation
has population	has population
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has type	have title
has population	has population
has occupation	has occupation
has type	number of cylinders
has occupation	has occupation
has type	occupation
has type	no relation
has population	has population
event year	event year
has occupation	has occupation
no relation	no relation
has genre	has genre
has occupation	has occupation
has type	has type
has occupation	has occupation
has occupation	has occupation
has type	has type
has population	has population
has type	genre
has occupation	has occupation
has genre	genre
has type	has type
has type	has type
event year	event year
has population	has population
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has occupation	has occupation
has genre	genre
has occupation	has occupation
has genre	has genre
has population	has population
has occupation	has occupation
has type	no relation
has occupation	has occupation
has population	has population
has occupation	has occupation
has population	has population
has occupation	has occupation
