actual	generated
имеет тип	имеет тип
из страны	из страны
находится в	из страны
место рождения	место рождения
находится в	location
находится в	из страны
организация имеет члена	является членом
место рождения	место рождения
из страны	ethnic group
имеет тип	instance of
имеет автора	имеет автора
место рождения	из страны
место рождения	из страны
находится в	из страны
находится в	из страны
имеет автора	имеет автора
фильм имеет режиссера	режиссер
штаб-квартира	location
штаб-квартира	из страны
имеет автора	имеет автора
штаб-квартира	из страны
находится в	из страны
имеет профессию	имеет профессию
имеет жанр	genre
имеет автора	author
имеет тип	public
имеет население	имеет население
организация имеет члена	является членом
фильм имеет режиссера	режиссер
имеет население	имеет население
имеет жанр	genre
фильм имеет режиссера	режиссер
имеет профессию	имеет профессию
имеет автора	имеет автора
имеет тип	instance of
находится в	country
место рождения	место рождения
из страны	из страны
из страны	из страны
организация имеет члена	является членом
является членом	является членом
место рождения	из страны
имеет образование	имеет образование
имеет образование	имеет образование
находится в	из страны
штаб-квартира	located in the administrative territorial entity
организация имеет члена	rapper
находится в	из страны
имеет автора	имеет автора
из страны	из страны
имеет тип	имеет тип
имеет автора	имеет автора
находится в	из страны
имеет ребенка	author
имеет профессию	имеет профессию
место рождения	место рождения
место рождения	place of birth
является членом	клуб
место рождения	место рождения
находится в	из страны
имеет жанр	genre
является членом	club
имеет образование	имает образование
имеет автора	имеет автора
штаб-квартира	из страны
место рождения	место рождения
является членом	employer
находится в	country
из страны	ethnic group
имеет профессию	имеет профессию
организация имеет члена	имеет автора
находится в	country
имеет население	имеет население
штаб-квартира	штабквартира
получил(а) награду	получила награду
из страны	из страны
имеет автора	имеет автора
имеет тип	имеет тип
имеет жанр	имеет жанр
из страны	из страны
имеет образование	имеет образование
имеет население	имеет население
имеет тип	имеет жанр
организация имеет члена	guitarist
нет отношения	son
место рождения	место рождения
имеет брата или сестру	sister
фильм имеет режиссера	director
имеет брата или сестру	имеет брата или сестру
место рождения	место рождения
имеет тип	имеет жанр
имеет супруга(у)	имеет супругау
имеет образование	имеет образование
имеет тип	является членом
имеет профессию	имеет профессию
организация имеет члена	является членом
имеет автора	имеет автора
из страны	из страны
год события	год события
имеет профессию	имеет профессию
имеет профессию	имеет профессию
организация имеет члена	является членом
место рождения	место рождения
имеет автора	имеет автора
из страны	languages spoken or written
имеет тип	type
имеет тип	record label
находится в	из страны
штаб-квартира	штабквартира
организация имеет основателя	организация имеет основателя
организация имеет члена	является членом
имеет профессию	employer
находится в	из страны
организация имеет члена	lead vocals
имеет тип	organizer
имеет автора	author
организация имеет члена	DJ
имеет профессию	имеет профессию
имеет родителя	имеет родителя
имеет профессию	имеет профессию
имеет автора	имеет автора
из страны	из страны
место рождения	место рождения
штаб-квартира	штабквартира
имеет тип	имеет тип
имеет автора	имеет автора
находится в	из страны
имеет профессию	имеет профессию
имеет образование	имеет образование
имеет автора	имеет автора
имеет жанр	имеет жанр
имеет профессию	имеет профессию
имеет автора	автор
организация имеет члена	a member
имеет жанр	genre
имеет население	имеет население
имеет автора	имеет автора
имеет профессию	имеет профессию
из страны	из страны
имеет тип	genre
место рождения	place of birth
фильм имеет режиссера	director
имеет образование	имеет образование
место рождения	место рождения
имеет жанр	имеет жанр
находится в	из страны
имеет супруга(у)	имеет супругау
находится в	была произведена
имеет население	имеет население
имеет профессию	имеет профессию
организация имеет члена	член
штаб-квартира	из страны
имеет тип	producer
место рождения	из страны
лидер организации	leader
имеет жанр	genre
имеет население	имеет население
имеет население	имеет население
организация имеет основателя	организация имеет основателя
имеет население	имеет население
из страны	ethnic group
имеет автора	имеет автора
имеет ребенка	child
организация имеет члена	producer
имеет профессию	имеет профессию
организация имеет основателя	организация имеет основателя
штаб-квартира	publication location
получил(а) награду	actor
организация имеет основателя	организация имеет основателя
место рождения	место рождения
штаб-квартира	место рождения
имеет население	имеет население
находится в	из страны
первый продукт	первый продукт
из страны	ethnic group
имеет брата или сестру	имеет брата или сестру
место рождения	место рождения
имеет тип	имеет тип
место рождения	место рождения
имеет жанр	имеет жанр
имеет тип	имеет жанр
имеет автора	author
имеет тип	имеет тип
место рождения	место рождения
имеет тип	genre
штаб-квартира	из страны
находится в	located in
находится в	находится в
имеет население	имеет население
имеет тип	record label
из страны	language
лидер организации	режиссер
имеет автора	author
находится в	из страны
фильм имеет режиссера	film имеет режиссера
место рождения	place of birth
с участием	actor
организация имеет основателя	организация имеет основателя
получил(а) награду	получила награду
фильм имеет режиссера	режиссер
