premise_en,premise_fr,premise_ru,hypothesis_en,hypothesis_fr,hypothesis_ru,label
Conceptually cream skimming has two basic dimensions - product and geography .,L' écrémage conceptuel de la crème a deux dimensions fondamentales : le produit et la géographie .,Концептуально крем крем имеет два основных измерения - продукт и география .,Product and geography are what make cream skimming work .,Le produit et la géographie sont ce qui fait travailler la crème de la crème .,"Продукт и география - это то , что делает крем для работы с кремом .",1
you know during the season and i guess at at your level uh you lose them to the next level if if they decide to recall the the parent team the Braves decide to call to recall a guy from triple A then a double A guy goes up to replace him and a single A guy goes up to replace him,Tu sais pendant la saison et je suppose qu' à ton niveau euh tu les perds au niveau suivant si s' ils décident de se rappeler l' équipe des parents les braves décident d' appeler pour rappeler un mec du triple a puis un double un mec monte à remplacez-le et un seul homme monte pour le remplacer .,"Вы знаете , что во время сезона , и я думаю , что на вашем уровне вы потеряете их до следующего уровня , если они решат вспомнить команду родителей , которую "" Воинов "" решили позвонить , чтобы вспомнить парня из "" Тройной а а потом двойной парень , который подходит к нему . Замените его , и один парень заменит его .",You lose the things to the following level if the people recall .,Vous perdez les choses au niveau suivant si les gens se rappellent .,"Вы теряете все до следующего уровня , если люди помнят .",0
One of our number will carry out your instructions minutely .,Un de nos numéros vous fera suivre vos instructions minutieusement .,Один из наших номеров будет досконально выполнять ваши инструкции .,A member of my team will execute your orders with immense precision .,Un membre de mon équipe exécutera vos ordres avec une grande précision .,Член моей команды будет выполнять ваши приказы с огромной точностью .,0
How do you know ? All this is their information again .,Qu' est-ce que tu en sais ? Tout ceci est à nouveau leur information .,Откуда ты знаешь ? Все это - их информация снова .,This information belongs to them .,Cette information leur appartient .,Эта информация принадлежит им .,0
yeah i tell you what though if you go price some of those tennis shoes i can see why now you know they 're getting up in the hundred dollar range,Ouais je te dis ce que si tu vas prix certaines de ces chaussures de tennis je peux voir pourquoi maintenant tu sais qu' ils se se dans la gamme des cent dollars,"Да , вот что я тебе скажу , если ты будешь платить за эти теннисные туфли , я могу понять , почему теперь ты знаешь , что они поднялись на сто долларов .",The tennis shoes have a range of prices .,Les chaussures de tennis ont une gamme de prix .,В обувь имеет ряд цен .,1
my walkman broke so i 'm upset now i just have to turn the stereo up real loud,Mon Walkman S' est cassé alors je suis en colère maintenant je dois juste tourner la stéréo très fort,"Мой плеер сломался , так что я расстроен . Мне просто нужно включить стерео погромче .",I 'm upset that my walkman broke and now I have to turn the stereo up really loud .,Je suis contrarié que mon walkman soit cassé et maintenant je dois tourner la stéréo très fort .,"Я расстроен из-за того , что мой плеер сломался , и теперь мне нужно включить стерео погромче .",0
"But a few Christian mosaics survive above the apse is the Virgin with the infant Jesus , with the Archangel Gabriel to the right ( his companion Michael , to the left , has vanished save for a few feathers from his wings ) .","Mais quelques mosaïques chrétiennes survivent au-dessus de l' abside , c' est la vierge avec l' enfant Jésus , avec L' Archange Gabriel à droite ( son compagnon Michael , à gauche , a disparu pour quelques plumes de ses ailes ) .","Но некоторые христианские мозаики выживают над в - девственница с Иисусом Иисусом , с в Габриэль Справа ( его компаньон Майкл , слева , исчез , кроме нескольких перьев с его крыльев ) .",Most of the Christian mosaics were destroyed by Muslims .,La plupart des mosaïques chrétiennes ont été détruites par les musulmans .,Большая часть христианской мозаики была уничтожена мусульманами .,1
( Read for Slate ' s take on Jackson 's findings . ),( lire les conclusions de l' ardoise sur les résultats de Jackson . ),( читай по списку джексона . ),Slate had an opinion on Jackson 's findings .,Slate avait un avis sur les conclusions de Jackson .,У листа было мнение о выводах джексона .,0
Gays and lesbians .,Gays et lesbiennes .,Геи и лесбиянки .,Heterosexuals .,Les hétérosexuels .,Гетеросексуалов .,2
"At the end of Rue des Francs-Bourgeois is what many consider to be the city 's most handsome residential square , the Place des Vosges , with its stone and red brick facades .","A la fin de la rue des francs-Bourgeois est ce que beaucoup considèrent comme la plus belle place résidentielle de la ville , la place des Vosges , avec ses façades en pierre et en briques rouges .","В конце улицы дез-франков - это то , что многие считают самым красивым жилой площади города - местом des , с его каменным и красным брик фасадов .",Place des Vosges is constructed entirely of gray marble .,La place des Vosges est entièrement construite en marbre gris .,Площадь des построена полностью из серого мрамора .,2
"I burst through a set of cabin doors , and fell to the ground-","J' ai traversé un ensemble de portes de cabine , et je suis tombé au sol","Я лопнул через набор дверей , и упал на землю",I burst through the doors and fell down .,J' ai traversé les portes et je suis tombé .,Я ворвался в двери и упал .,0
Fun for adults and children .,Amusant pour les adultes et les enfants .,Весело для взрослых и детей .,Fun for only children .,Amusant pour seulement les enfants .,Веселье только для детей .,2
It 's not that the questions they asked weren 't interesting or legitimate ( though most did fall under the category of already asked and answered ) .,Ce n' est pas que les questions qu' ils ont posées n' étaient pas intéressantes ou légitimes ( bien que la plupart d' entre elles relèvent de la catégorie de la demande et de la réponse ) .,"Дело не в том , что вопросы , которые они просили , не были интересными или законными ( хотя большинство из них попали под категорию уже спросил и ответили ) .",All of the questions were interesting according to a focus group consulted on the subject .,Toutes les questions étaient intéressantes selon un groupe de discussion consulté à ce sujet .,"Все вопросы были интересными по мнению фокус-группы , с которой проводились консультации по этому вопросу .",1
"Thebes held onto power until the 12th Dynasty , when its first king , Amenemhet Iwho reigned between 1980 1951 b.c. established a capital near Memphis .","Thèbes régna sur le pouvoir jusqu' à la 12 ème dynastie , lorsque son premier roi , amenemhet iwho , régna entre 1980 1951 av. J c. Et établit une capitale près de Memphis .","Фивы захватил власть до 12-й династии , когда ее первый король , аменемхет iwho правил между 1980 и 1951 годом до нашей эры , основал столицу около мемфиса .",The capital near Memphis lasted only half a century before its inhabitants abandoned it for the next capital .,La capitale près de Memphis N' a duré qu' un demi-siècle avant que ses habitants ne l' abandonnent pour la capitale suivante .,"Столица недалеко от мемфиса длилась лишь полвека до того , как ее жители покинули ее для следующей столицы .",1
