actual	generated
a un type	instance of
du pays	country of citizenship
est situé(e) à	country
lieu de naissance	place of birth
est situé(e) à	located in the administrative territorial entity
est situé(e) à	country of origin
organisation a pour membre	musician
lieu de naissance	place of birth
du pays	country of citizenship
a un type	instance of
a pour auteur	author
lieu de naissance	country of citizenship
lieu de naissance	country of citizenship
est situé(e) à	country
est situé(e) à	located in the administrative territorial entity
a pour auteur	author
film réalisé par	director
siège social	located in the administrative territorial entity
siège social	country of origin
a pour auteur	author
siège social	country
est situé(e) à	country
a une occupation	occupation
a un genre	genre
a pour auteur	author
a un type	public
a une population	population
organisation a pour membre	musician
film réalisé par	director
a une population	population
a un genre	genre
film réalisé par	director
a une occupation	occupation
a pour auteur	author
a un type	use
est situé(e) à	country
lieu de naissance	place of birth
du pays	country of citizenship
du pays	ethnic group
organisation a pour membre	member of band
est membre de	member of sports team
lieu de naissance	country of citizenship
a une éducation	educated at
a une éducation	educated at
est situé(e) à	country
siège social	country
organisation a pour membre	member of
est situé(e) à	country of citizenship
a pour auteur	author
du pays	country of citizenship
a un type	instance of
a pour auteur	author
est situé(e) à	country
a pour enfant	father
a une occupation	occupation
lieu de naissance	place of birth
lieu de naissance	place of birth
est membre de	member of sports team
lieu de naissance	place of birth
est situé(e) à	country
a un genre	genre
est membre de	member of sports team
a une éducation	educated at
a pour auteur	author
siège social	country
lieu de naissance	place of death
est membre de	member of sports team
est situé(e) à	country
du pays	ethnic group
a une occupation	occupation
organisation a pour membre	musician
est situé(e) à	country
a une population	population
siège social	headquarters location
a remporté un prix	award received
du pays	country of citizenship
a pour auteur	author
a un type	instance of
a un genre	genre
du pays	country of citizenship
a une éducation	educated at
a une population	population
a un type	instance of
organisation a pour membre	brother
aucune relation	father
lieu de naissance	place of birth
a un frère ou une sœur	sister
film réalisé par	director
a un frère ou une sœur	sister
lieu de naissance	place of birth
a un type	instance of
a un conjoint	fiance
a une éducation	educated at
a un type	instance of
a une occupation	occupation
organisation a pour membre	member
a pour auteur	author
du pays	country of citizenship
année de l'événement	inception
a une occupation	occupation
a une occupation	occupation
organisation a pour membre	member of
lieu de naissance	place of birth
a pour auteur	author
du pays	ethnic group
a un type	instance of
a un type	instance of
est situé(e) à	country
siège social	headquarters location
organisation fondée par	founder
organisation a pour membre	member
a une occupation	employer
est situé(e) à	country
organisation a pour membre	lead singer
a un type	organization
a pour auteur	author
organisation a pour membre	member of
a une occupation	occupation
a un parent	father
a une occupation	occupation
a pour auteur	author
du pays	country of citizenship
lieu de naissance	place of death
siège social	located in the administrative territorial entity
a un type	instance of
a pour auteur	author
est situé(e) à	country
a une occupation	occupation
a une éducation	educated at
a pour auteur	author
a un genre	genre
a une occupation	occupation
a pour auteur	author
organisation a pour membre	member
a un genre	genre
a une population	population
a pour auteur	author
a une occupation	occupation
du pays	country of citizenship
a un type	followed by
lieu de naissance	place of birth
film réalisé par	director
a une éducation	educated at
lieu de naissance	place of birth
a un genre	genre
est situé(e) à	country
a un conjoint	spouse
est situé(e) à	country of origin
a une population	population
a une occupation	occupation
organisation a pour membre	member of band
siège social	country
a un type	record label
lieu de naissance	country of citizenship
leader de l'organisation	leader
a un genre	genre
a une population	population
a une population	population
organisation fondée par	founder
a une population	population
du pays	ethnic group
a pour auteur	artist
a pour enfant	father
organisation a pour membre	producer
a une occupation	occupation
organisation fondée par	founder
siège social	headquarters location
a remporté un prix	film star
organisation fondée par	founder
lieu de naissance	place of birth
siège social	located in the administrative territorial entity
a une population	population
est situé(e) à	country
premier produit	product line
du pays	ethnic group
a un frère ou une sœur	brother
lieu de naissance	place of birth
a un type	instance of
lieu de naissance	place of birth
a un genre	genre
a un type	instance of
a pour auteur	artist
a un type	instance of
lieu de naissance	place of birth
a un type	follows
siège social	country
est situé(e) à	located in the administrative territorial entity
est situé(e) à	located in the administrative territorial entity
a une population	population
a un type	record label
du pays	languages spoken or written
leader de l'organisation	political party
a pour auteur	author
est situé(e) à	country
film réalisé par	director
lieu de naissance	place of death
mettant en vedette	actor
organisation fondée par	founder
a remporté un prix	participant of
film réalisé par	director
