actual	generated
место рождения	место рождения
имеет тип	имает тип
фильм имеет режиссера	режиссер
имеет профессию	имеет профессию
фильм имеет режиссера	режиссер
место рождения	место рождения
имеет жанр	genre
место рождения	place de naissance
место рождения	из страны
место рождения	место рождения
имеет жанр	имеет жанр
место рождения	место рождения
фильм имеет режиссера	имеет режиссера
имеет профессию	имеет профессию
имеет тип	имеет тип
место рождения	место рождения
имеет автора	имеет автора
имеет профессию	имеет профессию
имеет профессию	имеет профессию
из страны	из страны
место рождения	место рождения
имеет тип	имеет тип
место рождения	место рождения
находится в	located in the administrative territorial entity
находится в	находится в
фильм имеет режиссера	film имеет режиссера
находится в	находится в
место рождения	место рождения
фильм имеет режиссера	film имеет режиссера
имеет автора	имеет автора
имеет жанр	genre
организация имеет члена	leader
имеет автора	имеет автора
имеет профессию	имеет профессию
год события	date of birth
штаб-квартира	штабквартира
имеет тип	genre
находится в	из страны
место рождения	место рождения
фильм имеет режиссера	director
имеет родителя	имеет родителя
имеет профессию	организация имеет основателя
фильм имеет режиссера	director
находится в	находится в
находится в	находится в
находится в	находится в
место рождения	место рождения
имеет жанр	имеет жанр
находится в	находится в
находится в	из страны
фильм имеет режиссера	режиссер
место рождения	place of birth
фильм имеет режиссера	режиссер
фильм имеет режиссера	режиссер
находится в	из страны
имеет профессию	имеет профессию
место рождения	place of birth
место рождения	место рождения
место рождения	place of birth
место рождения	country of citizenship
имеет автора	имеет режиссера
фильм имеет режиссера	режиссер
из страны	из страны
место рождения	из страны
место рождения	место рождения
место рождения	place of birth
место рождения	место рождения
имеет тип	имеет тип
место рождения	place of birth
место рождения	место рождения
фильм имеет режиссера	режиссер
является членом	является членом
место рождения	место рождения
фильм имеет режиссера	режиссер
имеет тип	instance of
место рождения	место рождения
имеет жанр	имеет жанр
имеет профессию	изготовитель
имеет жанр	genre
место рождения	место рождения
место рождения	place of birth
находится в	из страны
место рождения	место рождения
место рождения	место рождения
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет жанр	genre
место рождения	место рождения
место рождения	место рождения
имеет жанр	продукция
место рождения	место рождения
место рождения	место рождения
место рождения	из страны
фильм имеет режиссера	режиссер
имеет тип	genre
имеет профессию	имеет жанр
находится в	из страны
место рождения	место рождения
место рождения	место рождения
имеет автора	имеет автора
место рождения	место рождения
находится в	из страны
место рождения	место рождения
место рождения	place of birth
имеет профессию	имеет профессию
находится в	из страны
имеет профессию	имеет профессию
организация имеет члена	организация имеет основателя
место рождения	место рождения
имеет тип	имеет жанр
находится в	из страны
фильм имеет режиссера	imееt authora
из страны	из страны
имеет автора	not enough information
место рождения	place of birth
имеет тип	genre
место рождения	штат
место рождения	место рождения
имеет тип	genre
место рождения	место рождения
место рождения	place of birth
имеет жанр	имеет жанр
находится в	из страны
находится в	name
имеет супруга(у)	имеет родителя
находится в	из страны
место рождения	место рождения
место рождения	place of birth
место рождения	place of birth
имеет жанр	instance of
место рождения	place of birth
место рождения	место рождения
место рождения	место рождения
место рождения	место рождения
имеет профессию	имеет профессию
из страны	из страны
является членом	является членом
место рождения	место рождения
имеет профессию	имеет профессию
место рождения	место рождения
имеет профессию	имеет профессию
находится в	находится в
имеет тип	genre
фильм имеет режиссера	режиссер
место рождения	место рождения
имеет профессию	имеет профессию
находится в	located in the administrative territorial entity
имеет профессию	имеет профессию
фильм имеет режиссера	film имеет режиссера
имеет жанр	имеет жанр
организация имеет основателя	организация имеет основателя
находится в	находится в
место рождения	место рождения
имеет автора	имеет автора
имеет профессию	имеет профессию
имеет тип	имеет тип
место рождения	место рождения
фильм имеет режиссера	режиссер
фильм имеет режиссера	film имеет режиссера
имеет образование	является членом
имеет профессию	имеет профессию
имеет тип	genre
имеет профессию	имеет профессию
имеет профессию	имеет профессию
имеет профессию	имеет профессию
лидер организации	leader
нет отношения	разработчик
место рождения	место рождения
место рождения	из страны
имеет тип	record label
находится в	из страны
организация имеет основателя	организация имеет основателя
находится в	из страны
место рождения	place of birth
имеет тип	genre
место рождения	место рождения
место рождения	место рождения
имеет тип	имеет профессию
из страны	из страны
находится в	из страны
место рождения	место рождения
из страны	из страны
находится в	country
организация имеет члена	director
место рождения	место рождения
находится в	country
место рождения	место рождения
нет отношения	является членом
является членом	является членом
фильм имеет режиссера	режиссер
фильм имеет режиссера	film
фильм имеет режиссера	имеет режиссера
имеет профессию	является членом
из страны	родина
место рождения	place of birth
находится в	из страны
место рождения	место рождения
имеет тип	имеет жанр
место рождения	place of birth
находится в	из страны
