actual	generated
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет население	population
имеет профессию	Artist
имеет население	population
имеет профессию	occupation
имеет профессию	religion
имеет тип	relationship
имеет образование	Educational
имеет население	population
имеет население	population
имеет профессию	occupation
имеет тип	No relation
имеет профессию	occupation
имеет профессию	gender
имеет профессию	occupation
без связи	instance of
имеет население	population
имеет тип	occupation
имеет население	population
имеет тип	Person
имеет профессию	religion
имеет профессию	occupation
имеет тип	location
имеет население	population
имеет тип	occupation
имеет профессию	genre
имеет профессию	Yes
имеет профессию	relation
имеет профессию	occupation
имеет тип	has type
имеет профессию	religious activity
без связи	Relationship
имеет профессию	education
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	Artist
имеет профессию	Artist
имеет профессию	occupation
имеет профессию	author
имеет население	population
имеет жанр	instance of
имеет профессию	relationship
имеет профессию	occupation
имеет население	population
имеет население	population
имеет профессию	occupation
имеет профессию	Person
имеет профессию	occupation
имеет профессию	from country
имеет профессию	occupation
имеет население	population
имеет население	population
имеет жанр	occupation
имеет профессию	Artist
имеет профессию	occupation
имеет профессию	Artist
имеет профессию	Artist
имеет профессию	relationship
имеет тип	Relationship
имеет население	population
имеет профессию	The relationship is most accurate
имеет профессию	occupation
имеет население	population
имеет жанр	No relation
имеет тип	characteristics
имеет тип	occupation
имеет население	population
год события	instance of
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	relation
имеет тип	Person
имеет профессию	occupation
имеет население	population
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	Artist
имеет профессию	occupation
имеет тип	place of birth
имеет профессию	occupation
имеет профессию	relationship
имеет население	No relation
имеет жанр	genre
имеет профессию	Person
имеет население	population
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	title
имеет тип	relationship
имеет население	population
имеет профессию	occupation
имеет тип	No relation
имеет профессию	Artist
имеет тип	relation
имеет тип	relationship
имеет население	population
год события	date of birth
имеет профессию	relationship
без связи	number
имеет жанр	genre
имеет профессию	occupation
имеет тип	has type
имеет профессию	gender
имеет профессию	director
имеет тип	instance of
имеет население	No relation
имеет тип	No relation
имеет профессию	occupation
имеет жанр	music
имеет тип	country
имеет тип	instance of
год события	date of award
имеет население	current population
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	Artist
имеет профессию	Person
имеет жанр	genre
имеет профессию	Artist
имеет жанр	genre
имеет население	count
имеет профессию	occupation
имеет тип	No relation
имеет профессию	occupation
имеет население	population
имеет профессию	Artist
имеет население	population
имеет профессию	occupation
