actual	generated
место рождения	place dbirth
имеет тип	location
фильм имеет режиссера	director
имеет профессию	acteur
фильм имеет режиссера	director
место рождения	city
имеет жанр	genre
место рождения	place détupe
место рождения	du Nicaragua
место рождения	né le 1er mars 1936 à Galbiate dans la province de Lecco en Lombardie
имеет жанр	genre
место рождения	place de natal
фильм имеет режиссера	production company
имеет профессию	homme daffaires
имеет тип	phablette
место рождения	né le 9 septembre 1936 à SaintÉtienne
имеет автора	author
имеет профессию	auteur
имеет профессию	Actor
из страны	Guinée
место рождения	place de birth
имеет тип	location
место рождения	location
находится в	country
находится в	Parnica
фильм имеет режиссера	director
находится в	arrondissement de CharlottenbourgWilmersdorf
место рождения	place détupe
фильм имеет режиссера	director
имеет автора	author
имеет жанр	genre
организация имеет члена	band
имеет автора	author
имеет профессию	occupation
год события	en 2002
штаб-квартира	Airport international Tribhuva à Katmandou
имеет тип	instance
находится в	country
место рождения	place de birth
фильм имеет режиссера	director
имеет родителя	Fils de
имеет профессию	cofounder
фильм имеет режиссера	director
находится в	village
находится в	location
находится в	place
место рождения	place d birth
имеет жанр	genre
находится в	État
находится в	location
фильм имеет режиссера	film
место рождения	place de birth
фильм имеет режиссера	director
фильм имеет режиссера	director
находится в	country
имеет профессию	scénariste
место рождения	place de birth
место рождения	place de natal
место рождения	place de death
место рождения	Corée
имеет автора	director
фильм имеет режиссера	director
из страны	country
место рождения	country
место рождения	place de birth
место рождения	place de birth
место рождения	place dbirth
имеет тип	record
место рождения	place dbirth
место рождения	place de birth
фильм имеет режиссера	producer
является членом	Bass Extremes
место рождения	né le à Quimper
фильм имеет режиссера	Jules Dassin
имеет тип	instance
место рождения	place de birth
имеет жанр	genre
имеет профессию	instrument mathématiques
имеет жанр	blues
место рождения	place de birth
место рождения	place de natal
находится в	Goranci
место рождения	place de birth
место рождения	place dhis birth
имеет профессию	occupation
имеет профессию	Actor
имеет жанр	genre
место рождения	place dorigine
место рождения	place of birth
имеет жанр	guitares
место рождения	place of birth
место рождения	place dbirth
место рождения	Membre du Parti socialdémocrate dAllemagne
фильм имеет режиссера	film director
имеет тип	album
имеет профессию	est un chanteur lituanien né le 28 septembre 1983 à Vilnius
находится в	country
место рождения	né à Wynau
место рождения	né à Caracas
имеет автора	author
место рождения	place de birth
находится в	country
место рождения	place of birth
место рождения	place détour
имеет профессию	chanteur
находится в	country
имеет профессию	occupation
организация имеет члена	Davey Havok
место рождения	place de natal
имеет тип	genre
находится в	country
фильм имеет режиссера	director
из страны	country
имеет автора	Artiste
место рождения	place de birth
имеет тип	remix
место рождения	governeur du Kentucky
место рождения	place of birth
имеет тип	Singles
место рождения	place de birth
место рождения	place déte
имеет жанр	genre
находится в	Commune
находится в	capitale de la Malaisie
имеет супруга(у)	Lyra douze ans au début de la trilogie est la fille de Lord Asriel et Marisa Coulter et vit in un Oxford comme au nôtre
находится в	commune
место рождения	place de birth
место рождения	place de birth
место рождения	né à Londres
имеет жанр	environnement de développement intégré
место рождения	place de natal
место рождения	né à Gênes
место рождения	place de natal
место рождения	place de natal
имеет профессию	association
из страны	né le 6 juin 1942 à Tepehuanes au Mexique
является членом	club américain
место рождения	naît à Nanyuki au Kenya
имеет профессию	auteurcompositeur
место рождения	place de birth
имеет профессию	Fletcher Markle acteur et réalisateur canadien
находится в	location
имеет тип	instance
фильм имеет режиссера	producer
место рождения	place de birth
имеет профессию	occupation
находится в	location
имеет профессию	compositeur
фильм имеет режиссера	production company
имеет жанр	genre
организация имеет основателя	founder
находится в	country
место рождения	place de naissance
имеет автора	Macharine
имеет профессию	Actrice
имеет тип	genre
место рождения	place de natal
фильм имеет режиссера	Production company
фильм имеет режиссера	director
имеет образование	Notre université
имеет профессию	acteur
имеет тип	album
имеет профессию	acteur
имеет профессию	occupation
имеет профессию	auteurcompositeur
лидер организации	political party
нет отношения	Kodak
место рождения	place de natal
место рождения	État dorigine
имеет тип	album
находится в	located in the administrative territorial entity
организация имеет основателя	record
находится в	country
место рождения	place dembauche
имеет тип	album
место рождения	place démigration
место рождения	place de natal
имеет тип	évêque de Londres
из страны	member de lUnion chrétiennedémocrate dAllemagne
находится в	neighbour
место рождения	place de natal
из страны	relations
находится в	location
организация имеет члена	auteur
место рождения	place dnatation
находится в	location
место рождения	place of birth
нет отношения	acquis
является членом	Jordy Zuidam à Utrecht
фильм имеет режиссера	director
фильм имеет режиссера	director
фильм имеет режиссера	director
имеет профессию	director général
из страны	country of citizenship
место рождения	son établissement
находится в	located in the administrative territorial entity
место рождения	place of birth
имеет тип	album
место рождения	location
находится в	localité de Serbie
