actual	generated
имеет профессию	occupation
имеет профессию	has occupation
имеет профессию	occupation
имеет население	has population
имеет профессию	occupation
имеет население	has population
имеет профессию	occupation
имеет профессию	occupation
имеет тип	occupation
имеет образование	has education
имеет население	has population
имеет население	has population
имеет профессию	occupation
имеет тип	has type
имеет профессию	has occupation
имеет профессию	has occupation
имеет профессию	occupation
нет отношения	no relation
имеет население	has population
имеет тип	occupation
имеет население	has population
имеет тип	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет тип	has type
имеет население	has population
имеет тип	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет тип	has genre
имеет профессию	occupation
нет отношения	event year
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет население	has population
имеет жанр	has type
имеет профессию	occupation
имеет профессию	occupation
имеет население	has population
имеет население	has population
имеет профессию	occupation
имеет профессию	has occupation
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет население	has population
имеет население	has population
имеет жанр	genre
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет тип	occupation
имеет население	has population
имеет профессию	occupation
имеет профессию	occupation
имеет население	has population
имеет жанр	has genre
имеет тип	type
имеет тип	occupation
имеет население	has population
год события	event year
имеет профессию	occupation
имеет профессию	has occupation
имеет профессию	occupation
имеет тип	occupation
имеет профессию	occupation
имеет население	has population
имеет профессию	occupation
имеет профессию	has occupation
имеет профессию	occupation
имеет профессию	has occupation
имеет тип	has type
имеет профессию	occupation
имеет профессию	occupation
имеет население	has population
имеет жанр	has genre
имеет профессию	has occupation
имеет население	has population
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	has occupation
имеет тип	occupation
имеет население	has population
имеет профессию	occupation
имеет тип	cylinders
имеет профессию	occupation
имеет тип	occupation
имеет тип	occupation
имеет население	has population
год события	event year
имеет профессию	occupation
нет отношения	event year
имеет жанр	has genre
имеет профессию	occupation
имеет тип	has type
имеет профессию	occupation
имеет профессию	occupation
имеет тип	has type
имеет население	has population
имеет тип	has genre
имеет профессию	occupation
имеет жанр	genre
имеет тип	has type
имеет тип	has type
год события	event year
имеет население	has population
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет профессию	occupation
имеет жанр	has genre
имеет профессию	occupation
имеет жанр	has genre
имеет население	has population
имеет профессию	occupation
имеет тип	has type
имеет профессию	occupation
имеет население	has population
имеет профессию	occupation
имеет население	has population
имеет профессию	occupation
