actual	generated
lieu de naissance	lieu de naissance
a un type	Yes
film réalisé par	auteur
a une occupation	Yes
film réalisé par	No
lieu de naissance	Location
a un genre	Yes
lieu de naissance	place de naissance
lieu de naissance	Yes
lieu de naissance	No
a un genre	instances de relation
lieu de naissance	No
film réalisé par	Yes
a une occupation	No
a un type	instance
lieu de naissance	No
a pour auteur	auteur
a une occupation	occupation
a une occupation	отношения
du pays	lieu de naissance
lieu de naissance	Location
a un type	instances
lieu de naissance	No
est situé(e) à	No
est situé(e) à	Yes
film réalisé par	lieu de naissance
est situé(e) à	lieu dhabitation
lieu de naissance	lieu de naissance
film réalisé par	No
a pour auteur	No
a un genre	Yes
organisation a pour membre	lieu de vie
a pour auteur	Usage de lexpression 
a une occupation	No
année de l'événement	r   for i in rangeintinput x  input y  input xappendx y  1 if xi  The River and The Sea xappendx y  1 if xi  The Sea and The Sea xappendx y
siège social	aéroport international Tribhuva
a un type	No
est situé(e) à	No
lieu de naissance	Yes
film réalisé par	Personnalité 
a un parent	Personnages
a une occupation	instances
film réalisé par	auteur
est situé(e) à	Yes
est situé(e) à	a  Bricklehampton Worcestershire Bricklehampton s  Bricklehampton Worcestershire sd Bricklehampton Worcestershire Bricklehampton Bricklehampton Worcestershire Worcestershire Bricklehampton Worcester
est situé(e) à	No
lieu de naissance	lieu de naissance
a un genre	instances
est situé(e) à	Yes
est situé(e) à	Location
film réalisé par	auteur
lieu de naissance	lieu de naissance
film réalisé par	imdb id
film réalisé par	auteur
est situé(e) à	habitants
a une occupation	lieu de naissance
lieu de naissance	Location
lieu de naissance	No
lieu de naissance	lieu dorigine
lieu de naissance	country
a pour auteur	auteur
film réalisé par	auteur
du pays	No
lieu de naissance	Yes
lieu de naissance	No
lieu de naissance	lieu de naissance
lieu de naissance	lieu de naissance
a un type	instances
lieu de naissance	lieu de naissance
lieu de naissance	lieu de naissance
film réalisé par	avec les personnes qui sont présentes dans la liste
est membre de	groupe
lieu de naissance	lieu de naissance
film réalisé par	auteur
a un type	lieu
lieu de naissance	Location
a un genre	instances
a une occupation	Yes
a un genre	I Wish You Would
lieu de naissance	None
lieu de naissance	lieu de naissance
est situé(e) à	Yes
lieu de naissance	place de naissance
lieu de naissance	lieu de naissance
a une occupation	occupation
a une occupation	âge 
a un genre	Yes
lieu de naissance	lieu de naissance
lieu de naissance	Location
a un genre	No
lieu de naissance	
lieu de naissance	lieu de naissance
lieu de naissance	Yes
film réalisé par	auteur
a un type	No
a une occupation	références
est situé(e) à	lieu de naissance
lieu de naissance	No
lieu de naissance	habitant de
a pour auteur	auteur
lieu de naissance	lieu de naissance
est situé(e) à	Location
lieu de naissance	lieu de naissance
lieu de naissance	Location
a une occupation	occupation
est situé(e) à	Yes
a une occupation	No
organisation a pour membre	groupe
lieu de naissance	lieu de naissance
a un type	genre
est situé(e) à	Yes
film réalisé par	instances
du pays	Yes
a pour auteur	auteur
lieu de naissance	Location
a un type	No
lieu de naissance	instance
lieu de naissance	lieu de naissance
a un type	types
lieu de naissance	Location
lieu de naissance	lieu de naissance
a un genre	Yes
est situé(e) à	lieu dhabitation
est situé(e) à	lieu dévènement
a un conjoint	Nom
est situé(e) à	No
lieu de naissance	Yes
lieu de naissance	Endroit où lon peut voir les relations entre certaines personnes
lieu de naissance	No
a un genre	Déclaration
lieu de naissance	lieu de naissance
lieu de naissance	place de naissance
lieu de naissance	lieu de naissance
lieu de naissance	place de naissance
a une occupation	occupation
du pays	No
est membre de	instances
lieu de naissance	lieu de naissance
a une occupation	occupation
lieu de naissance	Location
a une occupation	rôle
est situé(e) à	lieu détude
a un type	Yes
film réalisé par	alias
lieu de naissance	Yes
a une occupation	No
est situé(e) à	No
a une occupation	occupation
film réalisé par	auteur
a un genre	No
organisation fondée par	lassociation
est situé(e) à	No
lieu de naissance	lieu de naissance
a pour auteur	i
a une occupation	occupation
a un type	instance of
lieu de naissance	Location
film réalisé par	Étudiez les types de relations entre les deux organismes LÉtat de lAustralie et de lAlaska
film réalisé par	lieu de naissance
a une éducation	отношения
a une occupation	occupation
a un type	instances
a une occupation	No
a une occupation	id   id   id   id   id   id   id   id   id   id   id   id   id   id   id   id   id 
a une occupation	Souci est lorganisation où tous les gens appartiennent
leader de l'organisation	Yes
aucune relation	instances
lieu de naissance	lieu de naissance
lieu de naissance	Yes
a un type	lieu de naissance
est situé(e) à	Yes
organisation fondée par	Yes
est situé(e) à	Yes
lieu de naissance	lieu dorigine
a un type	types
lieu de naissance	lieu de naissance
lieu de naissance	lieu de naissance
a un type	lieu de résidence
du pays	देश
est situé(e) à	Yes
lieu de naissance	Personnalité
du pays	No
est situé(e) à	country
organisation a pour membre	lieu de vie
lieu de naissance	Location
est situé(e) à	No
lieu de naissance	lieu de naissance
aucune relation	Yes
est membre de	No
film réalisé par	No
film réalisé par	auteur
film réalisé par	 lieu de naissance
a une occupation	instances
du pays	Yes
lieu de naissance	 residence is unknown  birth date is 18 novembre 1948  nationality is tunisian  occupation is economist syndicalist and activist  genre is poppunk  birth place is ksar hellal tunisie  name is houcinedimassi
est situé(e) à	No
lieu de naissance	lieu de naissance
a un type	instances de connexion
lieu de naissance	Nom
est situé(e) à	No
