actual	generated
место рождения	place of birth
имеет тип	isatype
фильм имеет режиссера	film réalisé par
имеет профессию	hasoccupation
фильм имеет режиссера	film réalisé par
место рождения	место рождения
имеет жанр	genre
место рождения	place of birth
место рождения	country
место рождения	place of birth
имеет жанр	genre
место рождения	place of birth
фильм имеет режиссера	film имеет режиссера
имеет профессию	hasoccupation
имеет тип	isadevice
место рождения	place of birth
имеет автора	имеет автора
имеет профессию	hasoccupation
имеет профессию	hasoccupation
из страны	pays
место рождения	place of birth
имеет тип	hastype
место рождения	место рождения
находится в	country
находится в	located in
фильм имеет режиссера	film réalisé par
находится в	hasregion
место рождения	place of birth
фильм имеет режиссера	film réalisé par
имеет автора	author
имеет жанр	genre
организация имеет члена	organizer
имеет автора	author
имеет профессию	hasoccupation
год события	date de lévénement
штаб-квартира	штабквартира
имеет тип	genre
находится в	du pays
место рождения	место рождения
фильм имеет режиссера	film réalisé par
имеет родителя	имеет родителя
имеет профессию	организация имеет основателя
фильм имеет режиссера	film réalisé par
находится в	place of birth
находится в	comté
находится в	du pays
место рождения	place of birth
имеет жанр	hasgenre
находится в	находится в
находится в	located in the administrative territorial entity
фильм имеет режиссера	film réalisé par
место рождения	place of birth
фильм имеет режиссера	film réalisé par
фильм имеет режиссера	film имеет режиссера
находится в	du pays
имеет профессию	hasoccupation
место рождения	место рождения
место рождения	place of birth
место рождения	place of birth
место рождения	pays
имеет автора	film réalisé par
фильм имеет режиссера	film réalisé par
из страны	iscountry
место рождения	из страны
место рождения	place of birth
место рождения	место рождения
место рождения	place of birth
имеет тип	genre
место рождения	place of birth
место рождения	place of birth
фильм имеет режиссера	film réalisé par
является членом	collaboration
место рождения	place of birth
фильм имеет режиссера	film is directed by
имеет тип	hastype
место рождения	place of birth
имеет жанр	genre
имеет профессию	hasoccupation
имеет жанр	genre
место рождения	place of birth
место рождения	place of birth
находится в	из страны
место рождения	place of birth
место рождения	place of birth
имеет профессию	hasoccupation
имеет профессию	hasoccupation
имеет жанр	genre
место рождения	lugar de naissance
место рождения	place de naissance
имеет жанр	hasproduct
место рождения	место рождения
место рождения	место рождения
место рождения	из страны
фильм имеет режиссера	film имеет режиссера
имеет тип	genre
имеет профессию	hasoccupation
находится в	pays
место рождения	place of birth
место рождения	place of birth
имеет автора	author
место рождения	place of birth
находится в	is part of
место рождения	place of birth
место рождения	place of birth
имеет профессию	hasoccupation
находится в	country
имеет профессию	hasoccupation
организация имеет члена	groupe
место рождения	place of birth
имеет тип	genre
находится в	no country
фильм имеет режиссера	film réalisé par
из страны	iz страны
имеет автора	film réalisé par
место рождения	place of birth
имеет тип	genre
место рождения	lieu de naissance
место рождения	place of birth
имеет тип	genre
место рождения	place of birth
место рождения	место рождения
имеет жанр	genre
находится в	из страны
находится в	place
имеет супруга(у)	parents
находится в	country
место рождения	place of birth
место рождения	place of birth
место рождения	место рождения
имеет жанр	instance of
место рождения	place de naissance
место рождения	place of birth
место рождения	место рождения
место рождения	place of birth
имеет профессию	имеет профессию
из страны	pays
является членом	является членом
место рождения	place of birth
имеет профессию	hasoccupation
место рождения	place of birth
имеет профессию	hasoccupation
находится в	naходит в
имеет тип	genre
фильм имеет режиссера	film réalisé par
место рождения	place of birth
имеет профессию	hasoccupation
находится в	du pays
имеет профессию	hasoccupation
фильм имеет режиссера	film réalisé par
имеет жанр	genre
организация имеет основателя	организация имеет основателя
находится в	из страны
место рождения	place of birth
имеет автора	author
имеет профессию	hasoccupation
имеет тип	genre
место рождения	place of birth
фильм имеет режиссера	film réalisé par
фильм имеет режиссера	film réalisé par
имеет образование	organisme
имеет профессию	hasoccupation
имеет тип	genre
имеет профессию	hasoccupation
имеет профессию	hasoccupation
имеет профессию	hasoccupation
лидер организации	leader
нет отношения	notable
место рождения	place of birth
место рождения	из страны
имеет тип	record label
находится в	из страны
организация имеет основателя	организация имеет основателя
находится в	du pays
место рождения	place de naissance
имеет тип	genre
место рождения	place of birth
место рождения	место рождения
имеет тип	hasoccupation
из страны	из страны
находится в	country
место рождения	place of birth
из страны	из страны
находится в	du pays
организация имеет члена	режиссер
место рождения	place of birth
находится в	из страны
место рождения	место рождения
нет отношения	является членом
является членом	организация имеет члена
фильм имеет режиссера	film réalisé par
фильм имеет режиссера	film réalisé par
фильм имеет режиссера	film réalisé par
имеет профессию	организация имеет члена
из страны	из страны
место рождения	место рождения
находится в	country
место рождения	place of birth
имеет тип	genre
место рождения	place of birth
находится в	des pays
