actual	generated
место рождения	Étudiez le sujet
имеет тип	hasoccupation
фильм имеет режиссера	hasoccupation
имеет профессию	hasoccupation
фильм имеет режиссера	hasoccupation
место рождения	lieu de naissance
имеет жанр	instances
место рождения	lieu de naissance
место рождения	rintx for x in inputsplit r  rsplit r  rsplit r  rsplit r  rsplit r  rsplit r  rsplit r  rsplit r  rsplit r  rsplit r 
место рождения	lieu de naissance
имеет жанр	instances
место рождения	hasoccupation
фильм имеет режиссера	hasoccupation
имеет профессию	hasoccupation
имеет тип	hasoccupation
место рождения	hasoccupation
имеет автора	hasoccupation
имеет профессию	hasoccupation
имеет профессию	hasoccupation
из страны	hasoccupation
место рождения	lieu de naissance
имеет тип	hasoccupation
место рождения	Yes
находится в	hasoccupation
находится в	hasoccupation
фильм имеет режиссера	hasoccupation
находится в	Yes
место рождения	lieu de naissance
фильм имеет режиссера	hasoccupation
имеет автора	hasoccupation
имеет жанр	Yes
организация имеет члена	hasoccupation
имеет автора	hasoccupation
имеет профессию	hasoccupation
год события	lieu de naissance
штаб-квартира	hasoccupation
имеет тип	hasoccupation
находится в	A
место рождения	lieu de naissance
фильм имеет режиссера	hasoccupation
имеет родителя	hasoccupation
имеет профессию	hasoccupation
фильм имеет режиссера	hasoccupation
находится в	hasoccupation
находится в	lieu de naissance
находится в	hasoccupation
место рождения	lieu de naissance
имеет жанр	hasoccupation
находится в	hasoccupation
находится в	hasoccupation
фильм имеет режиссера	hasoccupation
место рождения	hasoccupation
фильм имеет режиссера	hasoccupation
фильм имеет режиссера	hasoccupation
находится в	hasoccupation
имеет профессию	hasoccupation
место рождения	No
место рождения	hasoccupation
место рождения	lieu de naissance
место рождения	No
имеет автора	hasoccupation
фильм имеет режиссера	hasoccupation
из страны	Yes
место рождения	No
место рождения	lieu de naissance
место рождения	lieu de naissance
место рождения	Le lieu de naissance
имеет тип	hasoccupation
место рождения	hasoccupation
место рождения	lieu de naissance
фильм имеет режиссера	hasoccupation
является членом	hasoccupation
место рождения	Nom de la ville
фильм имеет режиссера	hasoccupation
имеет тип	hasoccupation
место рождения	lieu de naissance
имеет жанр	hasoccupation
имеет профессию	ispersonnel
имеет жанр	s  inconnuevalues   for i in rangelens if si  si  1 and si  1  si  1 and si  1  si  1 and si  1  si  1 and si  1  svalues
место рождения	No
место рождения	Sachez où se trouve la relation entre Juris Podnieks et Riga
находится в	hasoccupation
место рождения	lieu de naissance
место рождения	lieu de naissance
имеет профессию	hasoccupation
имеет профессию	hasoccupation
имеет жанр	instance
место рождения	lieu de naissance
место рождения	hasoccupation
имеет жанр	hasoccupation
место рождения	lieu de naissance
место рождения	hasoccupation
место рождения	No
фильм имеет режиссера	hasoccupation
имеет тип	instances
имеет профессию	occupation
находится в	hasoccupation
место рождения	lieu de naissance
место рождения	hasoccupation
имеет автора	hasoccupation
место рождения	No
находится в	lieu de naissance
место рождения	No
место рождения	No
имеет профессию	hasoccupation
находится в	hasoccupation
имеет профессию	hasoccupation
организация имеет члена	occupation
место рождения	lieu de naissance
имеет тип	hasoccupation
находится в	lieu de naissance
фильм имеет режиссера	hasoccupation
из страны	No
имеет автора	hasoccupation
место рождения	lieu de naissance
имеет тип	instances
место рождения	instance
место рождения	lieu de naissance
имеет тип	hasoccupation
место рождения	Yes
место рождения	lieu de naissance
имеет жанр	Yes
находится в	hasoccupation
находится в	hasoccupation
имеет супруга(у)	hasoccupation
находится в	instances
место рождения	lieu de naissance
место рождения	No
место рождения	lieu de naissance
имеет жанр	Yes
место рождения	lieu de naissance
место рождения	lieu de naissance
место рождения	lieu de naissance
место рождения	lieu de naissance
имеет профессию	hasoccupation
из страны	lieu de naissance
является членом	hasoccupation
место рождения	Nom de la personne
имеет профессию	hasoccupation
место рождения	Le nom de la région où lassociation a été fondée a été défini par une relation est 
имеет профессию	hasoccupation
находится в	hasoccupation
имеет тип	hasoccupation
фильм имеет режиссера	hasoccupation
место рождения	lieu de naissance
имеет профессию	hasoccupation
находится в	hasoccupation
имеет профессию	hasoccupation
фильм имеет режиссера	hasoccupation
имеет жанр	Yes
организация имеет основателя	No
находится в	hasoccupation
место рождения	Nom donné
имеет автора	hasoccupation
имеет профессию	hasoccupation
имеет тип	hasoccupation
место рождения	lieu de naissance
фильм имеет режиссера	Personnalité
фильм имеет режиссера	hasoccupation
имеет образование	instances
имеет профессию	hasoccupation
имеет тип	hasoccupation
имеет профессию	hasoccupation
имеет профессию	hasoccupation
имеет профессию	hasoccupation
лидер организации	hasoccupation
нет отношения	hasoccupation
место рождения	hasoccupation
место рождения	No
имеет тип	hasoccupation
находится в	hasoccupation
организация имеет основателя	hasoccupation
находится в	hasoccupation
место рождения	Yes
имеет тип	hasoccupation
место рождения	lieu de naissance
место рождения	No
имеет тип	occupation
из страны	Yes
находится в	hasoccupation
место рождения	Yes
из страны	Yes
находится в	hasoccupation
организация имеет члена	hasoccupation
место рождения	lieu de naissance
находится в	hasoccupation
место рождения	Declaration
нет отношения	No
является членом	hasoccupation
фильм имеет режиссера	hasoccupation
фильм имеет режиссера	hasoccupation
фильм имеет режиссера	hasoccupation
имеет профессию	hasoccupation
из страны	hasoccupation
место рождения	Le lieu de naissance de Houssine Dimassi
находится в	hasoccupation
место рождения	lieu de naissance
имеет тип	instances   for i in rangei instancesappendi
место рождения	hasoccupation
находится в	hasoccupation
